planeID,aircraftTypeCode,operator,code,modeS,serialNumber,age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,ONTIME,STATUS
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,05 Jan 2025,Changzhou (CZX),Macau (MFM),NX107,2:16,4:55 PM,4:52 PM,7:25 PM,green,Landed 7:07 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,05 Jan 2025,Macau (MFM),Changzhou (CZX),NX108,2:01,1:10 PM,1:33 PM,3:55 PM,green,Landed 3:34 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,05 Jan 2025,Taipei (TPE),Macau (MFM),NX631,1:38,10:10 AM,10:20 AM,12:00 PM,green,Landed 11:57 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,05 Jan 2025,Macau (MFM),Taipei (TPE),NX632,1:19,7:25 AM,7:31 AM,9:20 AM,green,Landed 8:49 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,04 Jan 2025,Beijing (PEK),Macau (MFM),NX9,3:12,7:30 PM,7:55 PM,11:10 PM,green,Landed 11:07 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,04 Jan 2025,Macau (MFM),Beijing (PEK),NX10,2:46,3:15 PM,3:37 PM,6:30 PM,green,Landed 6:23 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,04 Jan 2025,Bangkok (BKK),Macau (MFM),NX995,2:08,10:35 AM,11:12 AM,2:25 PM,green,Landed 2:21 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,04 Jan 2025,Macau (MFM),Bangkok (BKK),NX996,2:53,7:40 AM,7:55 AM,9:35 AM,green,Landed 9:48 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,03 Jan 2025,Taipei (TPE),Macau (MFM),NX615,1:38,8:10 PM,8:20 PM,10:05 PM,green,Landed 9:58 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,03 Jan 2025,Macau (MFM),Taipei (TPE),NX618,1:14,5:25 PM,5:35 PM,7:10 PM,green,Landed 6:49 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,03 Jan 2025,Kaohsiung (KHH),Macau (MFM),NX667,1:15,2:40 PM,2:57 PM,4:15 PM,green,Landed 4:11 PM
