Airline Code,Aircraft Registration,Aircraft Link,Aircraft,Airline,Operator,Type Code,Mode S,Serial Number,Age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,STATUS,Color Code
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,09 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:37,1:25 PM,1:46 PM,4:15 PM,Landed 4:23 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,09 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:50,11:45 AM,11:49 AM,12:40 PM,Landed 12:40 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,09 Jun 2024,Singapore(SIN),Dili(DIL),8G992,3:36,1:30 AM,2:11 AM,6:30 AM,Landed 6:46 AM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,08 Jun 2024,Dili(DIL),Singapore(SIN),8G991,3:36,5:00 PM,5:00 PM,8:00 PM,Landed 7:36 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,08 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:35,10:35 AM,10:47 AM,1:25 PM,Landed 1:23 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,08 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:40,9:00 AM,9:02 AM,9:55 AM,Landed 9:42 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,07 Jun 2024,Oecusse(OEC),Dili(DIL),8G72,0:29,4:20 PM,4:51 PM,4:36 PM,Landed 5:19 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,07 Jun 2024,Dili(DIL),Oecusse(OEC),8G71,0:29,3:30 PM,3:29 PM,3:47 PM,Landed 3:58 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,07 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:39,10:35 AM,11:04 AM,1:25 PM,Landed 1:43 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,07 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:52,9:00 AM,9:10 AM,9:55 AM,Landed 10:02 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,06 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:34,10:35 AM,10:39 AM,1:25 PM,Landed 1:13 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,06 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:43,9:00 AM,8:57 AM,9:55 AM,Landed 9:39 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,05 Jun 2024,Oecusse(OEC),Dili(DIL),8G72,0:25,3:50 PM,4:19 PM,4:07 PM,Landed 4:44 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,05 Jun 2024,Dili(DIL),Oecusse(OEC),8G71,0:26,3:00 PM,3:12 PM,3:17 PM,Landed 3:37 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,05 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:35,10:35 AM,11:08 AM,1:25 PM,Landed 1:43 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,05 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:45,9:00 AM,9:15 AM,9:55 AM,Landed 10:00 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,04 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:33,10:35 AM,11:02 AM,1:25 PM,Landed 1:35 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,04 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:48,9:00 AM,9:28 AM,9:55 AM,Landed 10:16 AM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,04 Jun 2024,Oecusse(OEC),Dili(DIL),8G72,0:27,7:50 AM,8:27 AM,8:07 AM,Landed 8:53 AM,red
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,04 Jun 2024,Dili(DIL),Oecusse(OEC),8G71,0:26,7:00 AM,7:21 AM,7:39 AM,Landed 7:48 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,03 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:38,10:35 AM,10:51 AM,1:25 PM,Landed 1:28 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,03 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:49,9:00 AM,9:03 AM,9:55 AM,Landed 9:52 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,02 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:42,1:25 PM,1:50 PM,4:15 PM,Landed 4:32 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,02 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:54,11:45 AM,11:48 AM,12:40 PM,Landed 12:42 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,02 Jun 2024,Singapore(SIN),Dili(DIL),8G992,3:39,1:30 AM,2:12 AM,6:30 AM,Landed 6:51 AM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,01 Jun 2024,Dili(DIL),Singapore(SIN),8G991,3:34,5:00 PM,4:56 PM,8:00 PM,Landed 7:30 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,01 Jun 2024,Denpasar(DPS),Dili(DIL),8G182,1:36,10:35 AM,10:52 AM,1:25 PM,Landed 1:27 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,01 Jun 2024,Dili(DIL),Denpasar(DPS),8G181,1:42,9:00 AM,9:03 AM,9:55 AM,Landed 9:45 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,31 May 2024,Oecusse(OEC),Dili(DIL),8G72,0:26,4:20 PM,4:49 PM,4:37 PM,Landed 5:15 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,31 May 2024,Dili(DIL),Oecusse(OEC),8G71,0:27,3:30 PM,3:39 PM,3:47 PM,Landed 4:06 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,31 May 2024,Denpasar(DPS),Dili(DIL),8G182,1:34,10:35 AM,10:47 AM,1:25 PM,Landed 1:21 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,31 May 2024,Dili(DIL),Denpasar(DPS),8G181,1:40,9:00 AM,8:59 AM,9:55 AM,Landed 9:40 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,30 May 2024,Denpasar(DPS),Dili(DIL),8G182,1:45,10:35 AM,10:47 AM,1:25 PM,Landed 1:32 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,30 May 2024,Dili(DIL),Denpasar(DPS),8G181,1:35,9:00 AM,9:11 AM,9:55 AM,Landed 9:46 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,29 May 2024,Denpasar(DPS),Dili(DIL),8G182,1:44,10:35 AM,10:51 AM,1:25 PM,Landed 1:35 PM,green
