planeID,aircraftTypeCode,operator,code,modeS,serialNumber,age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,ONTIME,STATUS
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,24 Apr 2024,Tokyo (NRT),Seoul (ICN),NQ21,1:59,9:55 AM,10:16 AM,12:25 PM,green,Landed 12:15 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,23 Apr 2024,Seoul (ICN),Tokyo (NRT),NQ22,1:59,1:35 PM,2:07 PM,4:10 PM,green,Landed 4:05 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,23 Apr 2024,Tokyo (NRT),Seoul (ICN),NQ21,2:02,9:55 AM,10:06 AM,12:25 PM,green,Landed 12:08 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,21 Apr 2024,Bangkok (BKK),Tokyo (NRT),NQ2,5:10,11:45 PM,12:24 AM,8:05 AM,green,Landed 7:35 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,21 Apr 2024,Tokyo (NRT),Bangkok (BKK),NQ1,6:07,6:00 PM,6:38 PM,10:45 PM,green,Landed 10:45 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,21 Apr 2024,Seoul (ICN),Tokyo (NRT),NQ22,1:50,1:35 PM,2:00 PM,4:10 PM,green,Landed 3:50 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,21 Apr 2024,Tokyo (NRT),Seoul (ICN),NQ21,2:10,9:55 AM,10:24 AM,12:25 PM,green,Landed 12:34 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,18 Apr 2024,Bangkok (BKK),Tokyo (NRT),NQ2,5:13,11:45 PM,12:22 AM,8:05 AM,green,Landed 7:34 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,18 Apr 2024,Tokyo (NRT),Bangkok (BKK),NQ1,6:23,6:00 PM,6:21 PM,10:45 PM,green,Landed 10:45 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,18 Apr 2024,Seoul (ICN),Tokyo (NRT),NQ22,1:51,1:35 PM,1:52 PM,4:10 PM,green,Landed 3:43 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,18 Apr 2024,Tokyo (NRT),Seoul (ICN),NQ21,1:57,9:55 AM,10:08 AM,12:25 PM,green,Landed 12:05 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,16 Apr 2024,Seoul (ICN),Tokyo (NRT),NQ22,2:00,1:35 PM,2:05 PM,4:10 PM,green,Landed 4:05 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,16 Apr 2024,Tokyo (NRT),Seoul (ICN),NQ21,1:55,9:55 AM,10:19 AM,12:25 PM,green,Landed 12:14 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,15 Apr 2024,Bangkok (BKK),Tokyo (NRT),NQ2,5:14,12:15 AM,12:13 AM,8:10 AM,green,Landed 7:27 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,14 Apr 2024,Tokyo (NRT),Bangkok (BKK),NQ1,6:19,5:55 PM,6:10 PM,11:15 PM,green,Landed 10:29 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,14 Apr 2024,Seoul (ICN),Tokyo (NRT),NQ22,1:57,1:35 PM,1:46 PM,4:10 PM,green,Landed 3:43 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,14 Apr 2024,Tokyo (NRT),Seoul (ICN),NQ21,1:51,10:55 AM,10:13 AM,1:30 PM,green,Landed 12:04 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,12 Apr 2024,Bangkok (BKK),Tokyo (NRT),NQ2,5:09,12:15 AM,12:36 AM,8:10 AM,green,Landed 7:45 AM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,11 Apr 2024,Tokyo (NRT),Bangkok (BKK),NQ1,6:13,5:55 PM,6:26 PM,11:15 PM,green,Landed 10:39 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,11 Apr 2024,Seoul (ICN),Tokyo (NRT),NQ22,1:56,2:40 PM,2:05 PM,4:45 PM,green,Landed 4:00 PM
 JA801A ,B788,Air Japan,NQ / AJX,86CE6C,34488,13 years,11 Apr 2024,Tokyo (NRT),Seoul (ICN),NQ21,1:56,10:55 AM,10:11 AM,1:30 PM,green,Landed 12:07 PM
