Airline Code,Aircraft Registration,Aircraft Link,Aircraft,Airline,Operator,Type Code,Mode S,Serial Number,Age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,STATUS,Color Code
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,04 Jan 2025,Phnom Penh(PNH),Bangkok(BKK),KR701,1:11,2:05 PM,2:04 PM,3:20 PM,Landed 3:15 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,04 Jan 2025,Singapore(SIN),Phnom Penh(PNH),KR752,1:34,11:55 AM,12:07 PM,1:05 PM,Landed 12:41 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,04 Jan 2025,Phnom Penh(PNH),Singapore(SIN),KR751,1:43,7:55 AM,7:45 AM,10:55 AM,Landed 10:28 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,03 Jan 2025,Chengdu(TFU),Phnom Penh(PNH),KR962,3:18,11:30 AM,11:38 AM,2:10 PM,Landed 1:56 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,03 Jan 2025,Phnom Penh(PNH),Chengdu(TFU),KR961,2:57,6:10 AM,6:20 AM,10:30 AM,Landed 10:17 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,02 Jan 2025,Kuala Lumpur(KUL),Phnom Penh(PNH),KR782,1:31,6:15 PM,6:47 PM,7:20 PM,Landed 7:18 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,02 Jan 2025,Phnom Penh(PNH),Kuala Lumpur(KUL),KR781,1:45,2:20 PM,2:17 PM,5:15 PM,Landed 5:02 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,02 Jan 2025,Bangkok(BKK),Phnom Penh(PNH),KR702,0:53,10:35 AM,10:46 AM,11:50 AM,Landed 11:39 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,02 Jan 2025,Phnom Penh(PNH),Bangkok(BKK),KR701,0:53,8:15 AM,8:13 AM,9:30 AM,Landed 9:07 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,02 Jan 2025,Shenzhen(SZX),Phnom Penh(PNH),KR930,2:24,4:30 AM,4:48 AM,6:25 AM,Landed 6:12 AM,green
